service,usage_type,resource_id,region,period,cost_usd
Elastic Compute Cloud,$0.045 per NAT Gateway Hour,,us-east-1,2026-06,30.15
Elastic Compute Cloud,$0.0168 per On Demand Linux t4g.small Instance Hour,,us-east-1,2026-06,7.99
Elastic Compute Cloud,$0.0336 per On Demand Linux t4g.medium Instance Hour,,us-east-1,2026-06,106.66
Elastic Compute Cloud,$0.0416 per On Demand Linux t3.medium Instance Hour,,us-east-1,2026-06,27.76
Elastic Compute Cloud,$0.0725 per On Demand Linux c7g.large Instance Hour,,us-east-1,2026-06,4.98
Elastic Compute Cloud,$0.0832 per On Demand Linux t3.large Instance Hour,,us-east-1,2026-06,55.36
Elastic Compute Cloud,$0.1344 per On Demand Linux t4g.xlarge Instance Hour,,us-east-1,2026-06,66.38
Elastic Compute Cloud,$0.145 per On Demand Linux c7g.xlarge Instance Hour,,us-east-1,2026-06,58.28
Elastic Compute Cloud,$0.153 per On Demand Linux c6a.xlarge Instance Hour,,us-east-1,2026-06,13.40
Elastic Compute Cloud,$0.192 per On Demand Linux m5.large Instance Hour,,us-east-1,2026-06,29.83
Elastic Compute Cloud,$0.9776 per On Demand Linux g6.2xlarge Instance Hour,,us-east-1,2026-06,344.22
Elastic Compute Cloud,c6a.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #1,,us-east-1,2026-06,3.12
Elastic Compute Cloud,c6a.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,,us-east-1,2026-06,2.06
Elastic Compute Cloud,c6a.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,,us-east-1,2026-06,1.71
Elastic Compute Cloud,c6a.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #62,,us-east-1,2026-06,9.67
Elastic Compute Cloud,c6a.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #7,,us-east-1,2026-06,9.54
Elastic Compute Cloud,m5.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #1,,us-east-1,2026-06,0.06
Elastic Compute Cloud,m5.xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,,us-east-1,2026-06,0.40
Elastic Compute Cloud,t4g.medium Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #1,,us-east-1,2026-06,0.59
Elastic Compute Cloud,t4g.medium Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,,us-east-1,2026-06,0.09
Elastic Compute Cloud,t4g.medium Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #6,,us-east-1,2026-06,0.38
Elastic Compute Cloud,t4g.medium Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #62,,us-east-1,2026-06,1.08
